STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH
SC,SC0002,2,Y,SC0002-017,ABBE REGIONAL LIBRARY BOOKMOBILE,314 CHESTERFIELD STREET SW,AIKEN,29801,7117,AIKEN,8036427575,BS,-4,N_19,1,2470,R_19,52,R_19,2019,5,0,0,0,-81.7215,33.5562,45,3,550,170872,21,213,1145,4502,12260,0,A
SC,SC0002,3,Y,SC0002-003,AIKEN COUNTY PUBLIC LIBRARY,"314 CHESTERFIELD STREET, S.W.",AIKEN,29801,7117,AIKEN,8036422022,CE,32140,R_19,0,2713,R_19,52,R_19,2019,5,0,0,0,-81.7215,33.5562,45,3,550,170872,21,213,1145,4502,12260,0,A
SC,SC0002,4,Y,SC0002-004,BAMBERG COUNTY PUBLIC LIBRARY,315 NORTH EAST RAILROAD AVENUE,BAMBERG,29003,M,BAMBERG,8032453022,BR,6800,R_19,0,2393,R_19,52,R_19,2019,5,0,0,0,-80.9868,33.28715,45,9,M,14066,41,9602,2046,4506,-4,N,A
SC,SC0002,5,Y,SC0002-005,BARNWELL COUNTY PUBLIC LIBRARY,40 BURR STREET,BARNWELL,29812,2533,BARNWELL,8032593612,BR,17000,R_19,0,2373,R_19,52,R_19,2019,5,0,0,0,-81.364,33.24313,45,11,4060,20866,32,9703,1001,4502,-4,N,A
SC,SC0002,6,Y,SC0002-006,EDGEFIELD COUNTY PUBLIC LIBRARY,105 COURT HOUSE SQUARE,EDGEFIELD,29824,1340,EDGEFIELD,8036374025,BR,6000,R_19,0,2425,R_19,52,R_19,2019,5,0,0,0,-81.9292,33.78942,45,37,22795,27260,32,9702.02,3006,4503,12260,0,A
SC,SC0002,7,Y,SC0002-007,NANCY CARSON LIBRARY,135 EDGEFIELD ROAD,NORTH AUGUSTA,29841,2423,AIKEN,8032795767,BR,16000,R_19,0,2597,R_19,52,R_19,2019,5,0,0,0,-81.953,33.52342,45,3,50695,170872,21,207.02,2000,4502,12260,0,A
SC,SC0002,8,Y,SC0002-008,BLACKVILLE LIBRARY,19420 SOL BLATT AVENUE NORTH,BLACKVILLE,29817,M,BARNWELL,8032842295,BR,1860,R_19,0,1228,R_19,51,R_19,2019,5,0,0,0,-81.2706,33.35692,45,11,6490,20866,42,9702,2064,4502,-4,N,A
SC,SC0002,9,Y,SC0002-009,DENMARK LIBRARY,5122 CAROLINA HIGHWAY,DENMARK,29042,1689,BAMBERG,8037934511,BR,3000,R_19,0,870,R_19,49,R_19,2019,5,0,0,0,-81.1429,33.32036,45,9,19105,14066,32,9601,3059,4506,-4,N,A
SC,SC0002,10,Y,SC0002-010,MOBLEY (JOHNSTON) BRANCH,406 CALHOUN STREET,JOHNSTON,29832,1317,EDGEFIELD,8032755157,BR,4000,R_19,0,878,R_19,51,R_19,2019,5,0,0,0,-81.8016,33.83135,45,37,37150,27260,42,9703,2012,4503,12260,0,A
SC,SC0002,11,Y,SC0002-011,NEW ELLENTON LIBRARY,113 PINE HILL AVENUE,NEW ELLENTON,29809,2527,AIKEN,8036527845,BR,2337,R_19,0,949,R_19,51,R_19,2019,5,0,0,0,-81.6828,33.42033,45,3,49705,170872,21,220.01,2065,4502,12260,0,A
SC,SC0002,12,Y,SC0002-012,TRENTON BRANCH LIBRARY,117 WATSON ROAD,TRENTON,29847,3242,EDGEFIELD,8032752538,BR,1600,R_19,0,480,R_19,51,R_19,2019,5,0,0,0,-81.8425,33.74102,45,37,72520,27260,42,9704,1111,4503,12260,0,A
SC,SC0002,13,Y,SC0002-013,NANCY BONNETTE BRANCH,"204 PARK STREET, NE",WAGENER,29164,9323,AIKEN,8035645396,BR,2617,R_19,0,1380,R_19,51,R_19,2019,5,0,0,0,-81.3586,33.64996,45,3,74050,170872,42,217,1132,4502,12260,0,A
SC,SC0002,14,Y,SC0002-014,WILLISTON LIBRARY,205 SPRINGFIELD ROAD,WILLISTON,29853,2737,BARNWELL,8032663027,BR,1568,R_19,0,1363,R_19,51,R_19,2019,5,0,0,0,-81.4189,33.40333,45,11,77965,20866,42,9701,4048,4502,-4,N,A
SC,SC0002,15,Y,SC0002-015,JACKSON BRANCH LIBRARY,106 MAIN STREET,JACKSON,29831,2616,AIKEN,8034713811,BR,1320,R_19,0,911,R_19,51,R_19,2019,5,0,0,0,-81.788,33.32518,45,3,36205,170872,42,221,2043,4502,12260,0,A
SC,SC0002,16,Y,SC0002-016,MIDLAND VALLEY BRANCH LIBRARY,9 HILLSIDE ROAD,WARRENVILLE,29834,M,AIKEN,8035937379,BR,1600,R_19,0,996,R_19,51,R_19,2019,5,0,0,0,-81.8485,33.51411,45,3,40390,170872,21,210.01,1021,4502,12260,0,A
SC,SC0003,2,Y,SC0003-002,ALLENDALE HAMPTON JASPER REGIONAL LIBRARY,297 MAIN STREET NORTH,ALLENDALE,29810,3711,ALLENDALE,8035843513,CE,12000,R_19,0,2288,R_19,52,R_19,2019,5,0,0,0,-81.3072,33.00944,45,5,955,8688,32,9702,2070,4506,-4,N,A
SC,SC0003,4,Y,SC0003-004,HAMPTON COUNTY LIBRARY,12 LOCUST STREET,HAMPTON,29924,3530,HAMPTON,8039437528,BR,8700,R_19,0,2184,R_19,52,R_19,2019,5,0,0,0,-81.1113,32.86478,45,49,31885,19222,33,9202,5099,4506,-4,N,A
SC,SC0003,5,Y,SC0003-005,PRATT MEMORIAL LIBRARY,451 EAST WILSON STREET,RIDGELAND,29936,8525,JASPER,8437267744,BR,6366,R_19,0,1924,R_19,52,R_19,2019,5,0,6,0,-80.9783,32.48138,45,53,60280,30073,32,9502.02,3064,4506,25940,0,A
SC,SC0003,6,Y,SC0003-006,HARDEEVILLE PUBLIC LIBRARY,37 MAIN STREET,HARDEEVILLE,29927,M,JASPER,8437843426,BR,6200,R_19,0,1976,R_19,52,R_19,2019,5,0,0,0,-81.0787,32.28534,45,53,32245,30073,31,9503,2135,4506,25940,0,A
SC,SC0003,7,Y,SC0003-007,AHJ LIBRARY ANNEX - BOOKMOBILE,801 E. FIRST ST.,HAMPTON,29924,M,HAMPTON,8039432994,BS,-4,N_19,1,1250,R_19,50,R_19,2019,5,0,0,0,-81.1103,32.86404,45,49,31885,19222,33,9202,5111,4506,-4,N,A
SC,SC0003,9,Y,SC0003-009,ESTILL PUBLIC LIBRARY,100 PEEPLES AVENUE,ESTILL,29918,M,HAMPTON,8036254560,BR,5125,R_19,0,600,R_19,52,R_19,2019,5,0,0,0,-81.237,32.75363,45,49,23830,19222,42,9204,3083,4506,-4,N,A
SC,SC0004,2,Y,SC0004-002,ANDERSON COUNTY LIBRARY,300 N MCDUFFIE STREET,ANDERSON,29621,5643,ANDERSON,8642604500,CE,96000,R_19,0,3640,R_19,52,R_19,2019,5,0,0,0,-82.649,34.50561,45,7,1360,202558,13,123,1017,4503,24860,0,A
SC,SC0004,3,Y,SC0004-003,JENNIE ERWIN BRANCH LIBRARY,318 SHIRLEY AVENUE,HONEA PATH,29654,1636,ANDERSON,8643697751,BR,3900,R_19,0,2392,R_19,52,R_19,2019,5,0,0,0,-82.3938,34.44906,45,7,34810,202558,31,115,5042,4503,24860,0,A
SC,SC0004,4,Y,SC0004-004,BELTON BRANCH LIBRARY,91 BREAZEALE STREET,BELTON,29627,1732,ANDERSON,8643388330,BR,6600,R_19,0,2392,R_19,52,R_19,2019,5,0,0,0,-82.4948,34.52287,45,7,5365,202558,31,114.01,1059,4503,24860,0,A
SC,SC0004,5,Y,SC0004-005,LANDER MEMORIAL REGIONAL LIBRARY,925 GREENVILLE DRIVE,WILLIAMSTON,29697,1131,ANDERSON,8648475238,BR,6000,R_19,0,2730,R_19,52,R_19,2019,5,0,0,0,-82.4689,34.63035,45,7,77875,202558,21,104.01,3036,4503,24860,0,A
SC,SC0004,6,Y,SC0004-006,PENDLETON BRANCH LIBRARY,650 SOUTH MECHANIC STREET,PENDLETON,29670,1809,ANDERSON,8646463923,BR,12000,R_19,0,2730,R_19,52,R_19,2019,5,0,0,0,-82.7823,34.64281,45,7,55645,202558,21,107,6031,4503,24860,0,A
SC,SC0004,7,Y,SC0004-007,POWDERSVILLE BRANCH LIBRARY,4 CIVIC COURT,EASLEY,29642,8276,ANDERSON,8642951190,BR,12000,R_19,0,2730,R_19,52,R_19,2019,5,0,0,0,-82.4891,34.77533,45,7,58170,202558,41,101.03,2024,4503,24860,0,A
SC,SC0004,8,Y,SC0004-008,PIEDMONT BRANCH LIBRARY,1407 HIGHWAY 86,PIEDMONT,29673,8322,ANDERSON,8648456534,BR,2100,R_19,0,2392,R_19,52,R_19,2019,5,0,0,0,-82.4867,34.70567,45,7,M,202558,21,102,3010,4503,24860,0,A
SC,SC0004,9,Y,SC0004-009,IVA BRANCH LIBRARY,203 W. CRUETTE ST.,IVA,29655,8774,ANDERSON,8643486150,BR,5000,R_19,0,2392,R_19,52,R_19,2019,5,0,0,0,-82.6664,34.3043,45,7,36160,202558,42,117,2053,4503,24860,0,A
SC,SC0004,11,Y,SC0004-011,ANDERSON COUNTY LIBRARY BOOKMOBILE,300 N. MCDUFFIE STREET,ANDERSON,29621,5643,ANDERSON,8642604500,BS,-4,N_19,1,672,R_19,51,R_19,2019,5,0,0,0,-82.649,34.50561,45,7,1360,202558,13,123,1017,4503,24860,0,A
SC,SC0004,12,Y,SC0004-012,WESTSIDE COMMUNITY CENTER BRANCH,1100 WEST FRANKLIN STREET,ANDERSON,29624,2012,ANDERSON,8642604460,BR,1950,R_19,0,1950,R_19,52,R_19,2019,5,0,0,0,-82.6645,34.49576,45,7,1360,202558,13,7,2043,4503,24860,0,A
SC,SC0005,2,Y,SC0005-002,BEAUFORT COUNTY LIBRARY,311 SCOTT STREET,BEAUFORT,29902,5556,BEAUFORT,8432556430,CE,32747,R_19,0,2370,R_19,52,R_19,2019,5,0,0,0,-80.6708,32.43193,45,13,4690,192122,32,7,3056,4501,25940,0,A
SC,SC0005,3,Y,SC0005-003,BLUFFTON BRANCH LIBRARY,120 PALMETTO WAY,BLUFFTON,29910,9628,BEAUFORT,8432556490,BR,25000,R_19,0,2370,R_19,52,R_19,2019,5,0,0,0,-80.8569,32.24213,45,13,7210,192122,13,21.07,4011,4501,25940,0,A
SC,SC0005,4,Y,SC0005-004,HILTON HEAD ISLAND LIBRARY,11 BEACH CITY ROAD,HILTON HEAD ISLAND,29926,2709,BEAUFORT,8432556500,BR,26900,R_19,0,2370,R_19,52,R_19,2019,5,0,0,0,-80.7123,32.21854,45,13,34045,192122,13,107,2044,4501,25940,0,A
SC,SC0005,6,Y,SC0005-006,LOBECO BRANCH LIBRARY,1862 TRASK PARKWAY,LOBECO,29931,M,BEAUFORT,8432556475,BR,4000,R_19,0,2080,R_19,52,R_19,2019,5,0,0,0,-80.7447,32.55551,45,13,M,192122,42,1,1140,4506,25940,0,A
SC,SC0005,7,Y,SC0005-007,SAINT HELENA BRANCH LIBRARY,1025 SEA ISLAND PARKWAY,ST HELENA ISLAND,29920,4301,BEAUFORT,8432556486,BR,23000,R_19,0,2080,R_19,52,R_19,2019,5,0,0,0,-80.561,32.40035,45,13,M,192122,42,11.01,2055,4501,25940,0,A
SC,SC0005,9,Y,SC0005-009,BEAUFORT COUNTY LIBRARY BOOKMOBILE,311 SCOTT STREET,BEAUFORT,29902,5556,BEAUFORT,8432556547,BS,-4,N_19,1,1470,R_19,34,R_19,2019,5,0,0,0,-80.6708,32.43193,45,13,4690,192122,32,7,3056,4501,25940,0,A
SC,SC0006,2,Y,SC0006-002,BERKELEY COUNTY LIBRARY: HANAHAN,1316 OLD MURRAY COURT,HANAHAN,29406,M,BERKELEY,8435530047,BR,6700,R_19,0,2600,R_19,52,R_19,2019,5,0,0,0,-80.0346,32.92819,45,19,50875,411406,12,31.04,2004,4506,16700,0,5
SC,SC0006,5,Y,SC0006-005,BERKELEY COUNTY LIBRARY: ST. STEPHEN,1104 SOUTH MAIN STREET,ST. STEPHEN,29479,M,BERKELEY,8435674862,BR,5000,R_19,0,2496,R_19,52,R_19,2019,5,0,0,0,-79.924,33.40074,45,15,62755,227907,42,202.01,2051,4506,16700,0,A
SC,SC0006,6,Y,SC0006-006,BERKELEY COUNTY LIBRARY: GOOSE CREEK,325 OLD MONCKS CORNER ROAD,GOOSE CREEK,29445,4026,BERKELEY,8435721376,BR,15000,R_19,0,2912,R_19,52,R_19,2019,5,0,0,0,-80.0426,33.02017,45,15,29815,227907,21,207.07,2039,4501,16700,0,A
SC,SC0006,7,Y,SC0006-007,BERKELEY COUNTY LIBRARY: MONCKS CORNER,1003 HIGHWAY 52,MONCKS CORNER,29461,3007,BERKELEY,8437194243,CE,15082,R_19,0,2912,R_19,52,R_19,2019,5,0,0,0,-80.0008,33.18704,45,15,47275,227907,21,205.06,3057,4501,16700,0,A
SC,SC0006,8,Y,SC0006-008,BERKELEY COUNTY LIBRARY: DANIEL ISLAND,2301 DANIEL ISLAND DRIVE,DANIEL ISLAND,29492,8222,BERKELEY,8434712952,BR,5180,R_19,0,2496,R_19,52,R_19,2019,5,0,0,0,-79.9091,32.85086,45,15,13330,227907,12,204.03,1045,4501,16700,0,A
SC,SC0006,9,Y,SC0006-009,BERKELEY COUNTY LIBRARY: SANGAREE,595 SANGAREE PARKWAY,SUMMERVILLE,29483,5323,BERKELEY,8436951208,BR,5300,R_19,0,2496,R_19,52,R_19,2019,5,0,0,0,-80.1214,33.02982,45,15,63665,227907,21,207.15,1014,4501,16700,0,A
SC,SC0006,10,Y,SC0006-010,BERKELEY COUNTY LIBRARY BOOKMOBILE,100 LIBRARY STREET,MONCKS CORNER,29461,3749,BERKELEY,8437194247,BS,-4,N_19,1,2000,R_19,50,R_19,2019,5,0,0,0,-80.0093,33.19445,45,15,47275,227907,21,205.06,3023,4501,16700,0,A
SC,SC0007,2,Y,SC0007-002,CALHOUN COUNTY LIBRARY,900 F.R. HUFF DRIVE,ST. MATTHEWS,29135,1475,CALHOUN,8038743389,CE,12500,R_19,0,2456,R_19,52,R_19,2019,5,0,0,0,-80.7783,33.66335,45,17,62620,14553,42,9502,3057,4506,17900,0,A
SC,SC0007,4,Y,SC0007-004,CALHOUN COUNTY LIBRARY BOOKMOBILE,900 F.R. HUFF DRIVE,ST. MATTHEWS,29135,1475,CALHOUN,8038743389,BS,-4,N_19,1,369,R_19,48,R_19,2019,5,0,0,0,-80.7783,33.66335,45,17,62620,14553,42,9502,3057,4506,17900,0,A
SC,SC0008,2,Y,SC0008-002,CHAPIN MEMORIAL LIBRARY,400 14TH AVE. N.,MYRTLE BEACH,29577,3612,HORRY,8439181275,CE,24918,R_19,0,2964,R_19,52,R_19,2019,5,0,0,0,-78.8771,33.69695,45,51,49075,354081,13,506,2080,4507,34820,0,A
SC,SC0009,2,Y,SC0009-002,VILLAGE BRANCH LIBRARY,430 WHILDEN STREET,MT. PLEASANT,29464,5357,CHARLESTON,8438849741,BR,1413,R_19,0,1844,R_19,52,R_19,2019,5,0,0,0,-79.8762,32.78854,45,19,48535,411406,21,47.01,1022,4501,16700,0,A
SC,SC0009,3,Y,SC0009-003,COOPER RIVER MEMORIAL BRANCH,3503 RIVERS AVENUE,CHARLESTON,29405,7744,CHARLESTON,8437442489,BR,6800,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-79.9791,32.8567,45,19,50875,411406,12,55,2013,4506,16700,0,A
SC,SC0009,4,Y,SC0009-004,EDISTO BRANCH LIBRARY,1589 HIGHWAY 174,EDISTO ISLAND,29438,6724,CHARLESTON,8438692355,BR,1650,R_19,0,1330,R_19,52,R_19,2019,5,0,0,0,-80.283,32.5696,45,19,M,411406,42,23,1084,4501,16700,0,A
SC,SC0009,5,Y,SC0009-005,EDGAR ALLAN POE BRANCH LIBRARY,1921 I`ON AVENUE,SULLIVAN`S ISLAND,29482,M,CHARLESTON,8438833914,BR,3596,R_19,0,1304,R_19,52,R_19,2019,5,0,0,0,-79.8409,32.75958,45,19,70090,411406,21,48,2038,4501,16700,0,A
SC,SC0009,6,Y,SC0009-006,MCCLELLANVILLE BRANCH LIBRARY,222 BAKER STREET,MCCLELLANVILLE,29458,9714,CHARLESTON,8438873699,BR,1280,R_19,0,1592,R_19,52,R_19,2019,5,0,0,0,-79.4626,33.0882,45,19,43585,411406,42,50,3154,4501,16700,0,A
SC,SC0009,7,Y,SC0009-007,FOLLY BEACH BRANCH LIBRARY,55 CENTER STREET,FOLLY BEACH,29439,M,CHARLESTON,8435882001,BR,250,R_19,0,1276,R_19,52,R_19,2019,5,0,0,0,-79.9404,32.65485,45,19,26035,411406,21,20.04,2014,4501,16700,0,A
SC,SC0009,8,Y,SC0009-008,ST. PAUL`S BRANCH LIBRARY,5151 HIGHWAY 165,HOLLYWOOD,29449,M,CHARLESTON,8438893600,BR,1026,R_19,0,1844,R_19,52,R_19,2019,5,0,0,0,-80.2409,32.73115,45,19,34495,411406,42,25.02,4020,4506,16700,0,A
SC,SC0009,9,Y,SC0009-009,JOHN L. DART BRANCH LIBRARY,1067 KING STREET,CHARLESTON,29403,3708,CHARLESTON,8437227550,BR,6585,R_19,0,2456,R_19,52,R_19,2019,5,0,0,0,-79.9508,32.8053,45,19,13330,411406,12,15,2000,4506,16700,0,A
SC,SC0009,10,Y,SC0009-010,JAMES ISLAND BRANCH LIBRARY,1248 CAMP ROAD,CHARLESTON,29412,9206,CHARLESTON,8437956679,BR,6306,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-79.9496,32.72789,45,19,36430,411406,21,20.02,2008,4501,16700,0,A
SC,SC0009,11,Y,SC0009-011,WEST ASHLEY BRANCH LIBRARY,45 WINDEMERE BLVD.,CHARLESTON,29407,M,CHARLESTON,8437666635,BR,6540,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-79.9761,32.77701,45,19,13330,411406,12,30,2019,4501,16700,0,A
SC,SC0009,12,Y,SC0009-012,CHARLESTON COUNTY LIBRARY,68 CALHOUN STREET,CHARLESTON,29401,3508,CHARLESTON,8438056801,CE,101000,R_19,0,3326,R_19,52,R_19,2019,5,0,0,0,-79.9308,32.78822,45,19,13330,411406,12,51,2022,4501,16700,0,A
SC,SC0009,13,Y,SC0009-013,CHARLESTON COUNTY LIBRARY BOOKMOBILE,68 CALHOUN STREET,CHARLESTON,29401,3508,CHARLESTON,8438056881,BS,-4,N_19,1,1650,R_19,52,R_19,2019,5,0,0,0,-79.9308,32.78822,45,19,13330,411406,12,51,2022,4501,16700,0,A
SC,SC0009,14,Y,SC0009-014,DORCHESTER ROAD REGIONAL LIBRARY,6325 DORCHESTER ROAD,N. CHARLESTON,29418,5103,CHARLESTON,8035526466,BR,14000,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-80.0596,32.87509,45,19,50875,411406,12,31.1,2006,4506,16700,0,A
SC,SC0009,15,Y,SC0009-016,OTRANTO ROAD REGIONAL LIBRARY,2261 OTRANTO ROAD,N. CHARLESTON,29406,9602,CHARLESTON,8435724094,BR,14000,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-80.048,32.96477,45,19,50875,411406,12,31.14,1005,4501,16700,0,A
SC,SC0009,16,Y,SC0009-017,CYNTHIA GRAHAM HURD ST. ANDREWS REGIONAL LIBRARY,1735 N. WOODMERE DRIVE,CHARLESTON,29407,3875,CHARLESTON,8437662546,BR,14000,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-80.0138,32.80653,45,19,13330,411406,12,26.12,5008,4501,16700,0,A
SC,SC0009,17,Y,SC0009-015,MT. PLEASANT REGIONAL LIBRARY,1133 MATHIS FERRY ROAD,MT. PLEASANT,29464,5211,CHARLESTON,8438496161,BR,14000,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-79.865,32.81628,45,19,48535,411406,21,46.06,3029,4501,16700,0,A
SC,SC0009,18,Y,SC0009-018,JOHN`S ISLAND REGIONAL LIBRARY,3531 MAYBANK HIGHWAY,JOHN`S ISLAND,29455,4823,CHARLESTON,8435591945,BR,16000,R_19,0,2866,R_19,52,R_19,2019,5,0,0,0,-80.077,32.72319,45,19,13330,411406,12,21.01,1089,4501,16700,0,A
SC,SC0009,19,Y,SC0009-019,WANDO MOUNT PLEASANT LIBRARY,1400 CAROLINA PARK BOULEVARD,MT. PLEASANT,29466,7501,CHARLESTON,8438056930,BR,-1,M_19,0,-1,M_19,-1,M_19,2019,5,0,0,0,-79.7654,32.89219,45,19,48535,411406,41,46.08,4109,4501,16700,0,A
SC,SC0009,20,Y,SC0009-020,BAXTER-PATRICK JAMES ISLAND LIBRARY,1858 SOUTH GRIMBALL ROAD,CHARLESTON,29412,8013,CHARLESTON,8437956679,BR,-1,M_19,0,-1,M_19,-1,M_19,2019,5,0,0,0,-79.9718,32.70106,45,19,M,411406,21,20.03,3059,4501,16700,0,A
SC,SC0010,2,Y,SC0010-002,BLACKSBURG PUBLIC LIBRARY,201 SOUTH RUTHERFORD STREET,BLACKSBURG,29702,1535,CHEROKEE,8648392630,BR,6575,R_19,0,1924,R_19,52,R_19,2019,5,0,0,0,-81.5163,35.1195,45,21,6400,57300,42,9704.02,1001,4505,23500,1,A
SC,SC0010,3,Y,SC0010-003,CHEROKEE COUNTY PUBLIC LIBRARY BOOKMOBILE,300 E. RUTLEDGE AVENUE,GAFFNEY,29340,2227,CHEROKEE,8644872711,BS,-4,N_19,1,962,R_19,52,R_19,2019,5,0,0,0,-81.6511,35.06634,45,21,28060,57300,31,9706.01,1013,4505,23500,1,A
SC,SC0010,4,Y,SC0010-004,CHEROKEE COUNTY PUBLIC LIBRARY,300 E. RUTLEDGE AVENUE,GAFFNEY,29340,2227,CHEROKEE,8644872711,CE,21245,R_19,0,2860,R_19,52,R_19,2019,5,0,0,0,-81.6511,35.06634,45,21,28060,57300,31,9706.01,1013,4505,23500,1,A
SC,SC0011,2,Y,SC0011-002,CHESTER COUNTY LIBRARY BOOKMOBILE,100 CENTER STREET,CHESTER,29706,1703,CHESTER,8033778145,BS,-4,N_19,1,416,R_19,52,R_19,2019,5,0,0,0,-81.2142,34.70489,45,23,14095,32244,32,202,2005,4505,16740,0,A
SC,SC0011,3,Y,SC0011-003,GREAT FALLS BRANCH LIBRARY,39 CALHOUN STREET,GREAT FALLS,29055,1504,CHESTER,8034822149,BR,3400,R_19,0,2548,R_19,52,R_19,2019,5,0,0,0,-80.8972,34.57029,45,23,30490,32244,42,210,2061,4505,16740,0,A
SC,SC0011,4,Y,SC0011-004,CHESTER COUNTY LIBRARY,100 CENTER STREET,CHESTER,29706,1703,CHESTER,8033778145,CE,22508,R_19,0,2990,R_19,52,R_19,2019,5,0,0,0,-81.2142,34.70489,45,23,14095,32244,32,202,2005,4505,16740,0,A
SC,SC0011,5,Y,SC0011-005,LEWISVILLE COMMUNITY LIBRARY,3771 LANCASTER HWY,RICHBURG,29729,9049,CHESTER,8037897800,BR,4108,R_19,0,2548,R_19,52,R_19,2019,5,0,0,0,-81.0115,34.71936,45,23,59920,32244,42,207,2037,4505,16740,0,A
SC,SC0012,3,Y,SC0012-003,MATHESON MEMORIAL LIBRARY,227 HUGER STREET,CHERAW,29520,2628,CHESTERFIELD,8435373571,BR,6000,R_19,0,2496,R_19,52,R_19,2019,5,0,0,0,-79.8897,34.69503,45,25,13600,45650,32,9506,1020,4507,-4,N,A
SC,SC0012,4,Y,SC0012-004,PAGELAND COMMUNITY LIBRARY,109 WEST BLAKENEY STREET,PAGELAND,29728,2101,CHESTERFIELD,8436726930,BR,2208,R_19,0,2236,R_19,52,R_19,2019,5,0,0,0,-80.3911,34.76949,45,25,54025,45650,32,9501.01,1011,4507,-4,N,A
