StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45001950100,"Abbeville County, SC - 45001950100",2015,3.50%,
45,South Carolina,45001950200,"Abbeville County, SC - 45001950200",2015,6.00%,
45,South Carolina,45001950300,"Abbeville County, SC - 45001950300",2015,8.00%,
45,South Carolina,45001950400,"Abbeville County, SC - 45001950400",2015,9.00%,
45,South Carolina,45001950500,"Abbeville County, SC - 45001950500",2015,13.60%,
45,South Carolina,45001950600,"Abbeville County, SC - 45001950600",2015,6.40%,
45,South Carolina,45003020100,"Aiken County, SC - 45003020100",2015,12.40%,
45,South Carolina,45003020200,"Aiken County, SC - 45003020200",2015,3.20%,
45,South Carolina,45003020301,"Aiken County, SC - 45003020301",2015,7.80%,
45,South Carolina,45003020302,"Aiken County, SC - 45003020302",2015,6.80%,
45,South Carolina,45003020400,"Aiken County, SC - 45003020400",2015,5.70%,
45,South Carolina,45003020500,"Aiken County, SC - 45003020500",2015,2.70%,
45,South Carolina,45003020601,"Aiken County, SC - 45003020601",2015,0.70%,
45,South Carolina,45003020602,"Aiken County, SC - 45003020602",2015,11.70%,
45,South Carolina,45003020701,"Aiken County, SC - 45003020701",2015,5.80%,
45,South Carolina,45003020702,"Aiken County, SC - 45003020702",2015,14.70%,
45,South Carolina,45003020801,"Aiken County, SC - 45003020801",2015,0.60%,
45,South Carolina,45003020802,"Aiken County, SC - 45003020802",2015,2.30%,
45,South Carolina,45003020901,"Aiken County, SC - 45003020901",2015,5.90%,
45,South Carolina,45003020902,"Aiken County, SC - 45003020902",2015,4.30%,
45,South Carolina,45003021001,"Aiken County, SC - 45003021001",2015,3.00%,
45,South Carolina,45003021002,"Aiken County, SC - 45003021002",2015,6.50%,
45,South Carolina,45003021101,"Aiken County, SC - 45003021101",2015,13.40%,
45,South Carolina,45003021102,"Aiken County, SC - 45003021102",2015,4.20%,
45,South Carolina,45003021201,"Aiken County, SC - 45003021201",2015,3.40%,
45,South Carolina,45003021202,"Aiken County, SC - 45003021202",2015,2.00%,
45,South Carolina,45003021203,"Aiken County, SC - 45003021203",2015,3.70%,
45,South Carolina,45003021300,"Aiken County, SC - 45003021300",2015,7.00%,
45,South Carolina,45003021400,"Aiken County, SC - 45003021400",2015,18.90%,
45,South Carolina,45003021500,"Aiken County, SC - 45003021500",2015,5.60%,
45,South Carolina,45003021601,"Aiken County, SC - 45003021601",2015,7.10%,
45,South Carolina,45003021602,"Aiken County, SC - 45003021602",2015,1.20%,
45,South Carolina,45003021700,"Aiken County, SC - 45003021700",2015,8.80%,
45,South Carolina,45003021800,"Aiken County, SC - 45003021800",2015,8.60%,
45,South Carolina,45003021900,"Aiken County, SC - 45003021900",2015,2.80%,
45,South Carolina,45003022001,"Aiken County, SC - 45003022001",2015,3.50%,
45,South Carolina,45003022002,"Aiken County, SC - 45003022002",2015,4.80%,
45,South Carolina,45003022100,"Aiken County, SC - 45003022100",2015,5.10%,
45,South Carolina,45003980100,"Aiken County, SC - 45003980100",2015,0.00%,
45,South Carolina,45005970200,"Allendale County, SC - 45005970200",2015,18.30%,
45,South Carolina,45005970300,"Allendale County, SC - 45005970300",2015,2.00%,
45,South Carolina,45005970400,"Allendale County, SC - 45005970400",2015,15.70%,
45,South Carolina,45007000200,"Anderson County, SC - 45007000200",2015,6.00%,
45,South Carolina,45007000300,"Anderson County, SC - 45007000300",2015,3.80%,
45,South Carolina,45007000500,"Anderson County, SC - 45007000500",2015,2.00%,
45,South Carolina,45007000600,"Anderson County, SC - 45007000600",2015,34.00%,
45,South Carolina,45007000700,"Anderson County, SC - 45007000700",2015,28.80%,
45,South Carolina,45007000800,"Anderson County, SC - 45007000800",2015,17.40%,
45,South Carolina,45007000900,"Anderson County, SC - 45007000900",2015,15.30%,
45,South Carolina,45007001000,"Anderson County, SC - 45007001000",2015,1.60%,
45,South Carolina,45007001100,"Anderson County, SC - 45007001100",2015,3.80%,
45,South Carolina,45007010102,"Anderson County, SC - 45007010102",2015,2.10%,
45,South Carolina,45007010103,"Anderson County, SC - 45007010103",2015,5.60%,
45,South Carolina,45007010104,"Anderson County, SC - 45007010104",2015,3.30%,
45,South Carolina,45007010200,"Anderson County, SC - 45007010200",2015,1.60%,
45,South Carolina,45007010300,"Anderson County, SC - 45007010300",2015,8.10%,
45,South Carolina,45007010401,"Anderson County, SC - 45007010401",2015,5.10%,
45,South Carolina,45007010402,"Anderson County, SC - 45007010402",2015,3.70%,
45,South Carolina,45007010500,"Anderson County, SC - 45007010500",2015,2.20%,
45,South Carolina,45007010600,"Anderson County, SC - 45007010600",2015,3.30%,
45,South Carolina,45007010700,"Anderson County, SC - 45007010700",2015,10.30%,
45,South Carolina,45007010800,"Anderson County, SC - 45007010800",2015,1.70%,
45,South Carolina,45007010900,"Anderson County, SC - 45007010900",2015,3.30%,
45,South Carolina,45007011001,"Anderson County, SC - 45007011001",2015,1.50%,
45,South Carolina,45007011002,"Anderson County, SC - 45007011002",2015,4.10%,
45,South Carolina,45007011100,"Anderson County, SC - 45007011100",2015,1.20%,
45,South Carolina,45007011201,"Anderson County, SC - 45007011201",2015,3.70%,
45,South Carolina,45007011202,"Anderson County, SC - 45007011202",2015,3.30%,
45,South Carolina,45007011300,"Anderson County, SC - 45007011300",2015,1.50%,
45,South Carolina,45007011401,"Anderson County, SC - 45007011401",2015,11.60%,
45,South Carolina,45007011402,"Anderson County, SC - 45007011402",2015,7.40%,
45,South Carolina,45007011500,"Anderson County, SC - 45007011500",2015,7.70%,
45,South Carolina,45007011600,"Anderson County, SC - 45007011600",2015,3.90%,
45,South Carolina,45007011700,"Anderson County, SC - 45007011700",2015,4.20%,
45,South Carolina,45007011800,"Anderson County, SC - 45007011800",2015,5.30%,
45,South Carolina,45007011901,"Anderson County, SC - 45007011901",2015,13.20%,
45,South Carolina,45007011902,"Anderson County, SC - 45007011902",2015,12.20%,
45,South Carolina,45007012001,"Anderson County, SC - 45007012001",2015,0.80%,
45,South Carolina,45007012002,"Anderson County, SC - 45007012002",2015,0.50%,
45,South Carolina,45007012200,"Anderson County, SC - 45007012200",2015,4.40%,
45,South Carolina,45007012300,"Anderson County, SC - 45007012300",2015,15.60%,
45,South Carolina,45009960100,"Bamberg County, SC - 45009960100",2015,16.80%,
45,South Carolina,45009960200,"Bamberg County, SC - 45009960200",2015,9.60%,
45,South Carolina,45009960300,"Bamberg County, SC - 45009960300",2015,7.80%,
45,South Carolina,45009960400,"Bamberg County, SC - 45009960400",2015,5.90%,
45,South Carolina,45011970100,"Barnwell County, SC - 45011970100",2015,14.40%,
45,South Carolina,45011970200,"Barnwell County, SC - 45011970200",2015,16.50%,
45,South Carolina,45011970300,"Barnwell County, SC - 45011970300",2015,17.40%,
45,South Carolina,45011970400,"Barnwell County, SC - 45011970400",2015,4.50%,
45,South Carolina,45011970500,"Barnwell County, SC - 45011970500",2015,5.90%,
45,South Carolina,45011980100,"Barnwell County, SC - 45011980100",2015,0.00%,
45,South Carolina,45013000100,"Beaufort County, SC - 45013000100",2015,13.80%,
45,South Carolina,45013000200,"Beaufort County, SC - 45013000200",2015,13.80%,
45,South Carolina,45013000300,"Beaufort County, SC - 45013000300",2015,4.80%,
45,South Carolina,45013000400,"Beaufort County, SC - 45013000400",2015,0.00%,
45,South Carolina,45013000501,"Beaufort County, SC - 45013000501",2015,9.90%,
45,South Carolina,45013000502,"Beaufort County, SC - 45013000502",2015,8.00%,
45,South Carolina,45013000503,"Beaufort County, SC - 45013000503",2015,3.10%,
45,South Carolina,45013000600,"Beaufort County, SC - 45013000600",2015,13.20%,
45,South Carolina,45013000700,"Beaufort County, SC - 45013000700",2015,1.50%,
45,South Carolina,45013000800,"Beaufort County, SC - 45013000800",2015,11.00%,
45,South Carolina,45013000901,"Beaufort County, SC - 45013000901",2015,0.00%,
45,South Carolina,45013000902,"Beaufort County, SC - 45013000902",2015,2.20%,
45,South Carolina,45013000903,"Beaufort County, SC - 45013000903",2015,4.00%,
45,South Carolina,45013001000,"Beaufort County, SC - 45013001000",2015,0.00%,
45,South Carolina,45013001101,"Beaufort County, SC - 45013001101",2015,5.90%,
45,South Carolina,45013001102,"Beaufort County, SC - 45013001102",2015,9.60%,
45,South Carolina,45013001200,"Beaufort County, SC - 45013001200",2015,1.80%,
45,South Carolina,45013002101,"Beaufort County, SC - 45013002101",2015,20.50%,
45,South Carolina,45013002102,"Beaufort County, SC - 45013002102",2015,0.60%,
45,South Carolina,45013002103,"Beaufort County, SC - 45013002103",2015,0.00%,
45,South Carolina,45013002104,"Beaufort County, SC - 45013002104",2015,0.60%,
45,South Carolina,45013002105,"Beaufort County, SC - 45013002105",2015,1.50%,
45,South Carolina,45013002106,"Beaufort County, SC - 45013002106",2015,0.00%,
45,South Carolina,45013002107,"Beaufort County, SC - 45013002107",2015,4.50%,
45,South Carolina,45013002108,"Beaufort County, SC - 45013002108",2015,2.10%,
45,South Carolina,45013002201,"Beaufort County, SC - 45013002201",2015,7.50%,
45,South Carolina,45013002202,"Beaufort County, SC - 45013002202",2015,0.60%,
45,South Carolina,45013010100,"Beaufort County, SC - 45013010100",2015,1.10%,
45,South Carolina,45013010200,"Beaufort County, SC - 45013010200",2015,7.50%,
45,South Carolina,45013010300,"Beaufort County, SC - 45013010300",2015,5.20%,
45,South Carolina,45013010400,"Beaufort County, SC - 45013010400",2015,5.00%,
45,South Carolina,45013010500,"Beaufort County, SC - 45013010500",2015,4.70%,
45,South Carolina,45013010600,"Beaufort County, SC - 45013010600",2015,5.10%,
45,South Carolina,45013010700,"Beaufort County, SC - 45013010700",2015,7.90%,
45,South Carolina,45013010800,"Beaufort County, SC - 45013010800",2015,6.40%,
45,South Carolina,45013010900,"Beaufort County, SC - 45013010900",2015,4.90%,
45,South Carolina,45013011000,"Beaufort County, SC - 45013011000",2015,5.20%,
45,South Carolina,45013011100,"Beaufort County, SC - 45013011100",2015,0.70%,
45,South Carolina,45013011200,"Beaufort County, SC - 45013011200",2015,0.00%,
45,South Carolina,45013011300,"Beaufort County, SC - 45013011300",2015,5.20%,
45,South Carolina,45013990100,"Beaufort County, SC - 45013990100",2015,0.00%,
45,South Carolina,45015020101,"Berkeley County, SC - 45015020101",2015,8.80%,
45,South Carolina,45015020102,"Berkeley County, SC - 45015020102",2015,6.80%,
45,South Carolina,45015020201,"Berkeley County, SC - 45015020201",2015,13.90%,
45,South Carolina,45015020202,"Berkeley County, SC - 45015020202",2015,14.50%,
45,South Carolina,45015020301,"Berkeley County, SC - 45015020301",2015,4.20%,
45,South Carolina,45015020302,"Berkeley County, SC - 45015020302",2015,2.10%,
45,South Carolina,45015020401,"Berkeley County, SC - 45015020401",2015,7.50%,
45,South Carolina,45015020403,"Berkeley County, SC - 45015020403",2015,4.00%,
45,South Carolina,45015020404,"Berkeley County, SC - 45015020404",2015,3.60%,
45,South Carolina,45015020405,"Berkeley County, SC - 45015020405",2015,10.00%,
45,South Carolina,45015020503,"Berkeley County, SC - 45015020503",2015,2.20%,
45,South Carolina,45015020504,"Berkeley County, SC - 45015020504",2015,8.80%,
45,South Carolina,45015020505,"Berkeley County, SC - 45015020505",2015,1.80%,
45,South Carolina,45015020506,"Berkeley County, SC - 45015020506",2015,15.60%,
45,South Carolina,45015020600,"Berkeley County, SC - 45015020600",2015,3.10%,
45,South Carolina,45015020707,"Berkeley County, SC - 45015020707",2015,7.30%,
45,South Carolina,45015020710,"Berkeley County, SC - 45015020710",2015,1.70%,
45,South Carolina,45015020711,"Berkeley County, SC - 45015020711",2015,1.50%,
45,South Carolina,45015020712,"Berkeley County, SC - 45015020712",2015,2.20%,
45,South Carolina,45015020713,"Berkeley County, SC - 45015020713",2015,7.80%,
45,South Carolina,45015020714,"Berkeley County, SC - 45015020714",2015,5.20%,
45,South Carolina,45015020715,"Berkeley County, SC - 45015020715",2015,7.00%,
45,South Carolina,45015020716,"Berkeley County, SC - 45015020716",2015,1.60%,
45,South Carolina,45015020717,"Berkeley County, SC - 45015020717",2015,1.50%,
45,South Carolina,45015020718,"Berkeley County, SC - 45015020718",2015,3.40%,
45,South Carolina,45015020719,"Berkeley County, SC - 45015020719",2015,0.80%,
45,South Carolina,45015020720,"Berkeley County, SC - 45015020720",2015,1.00%,
45,South Carolina,45015020721,"Berkeley County, SC - 45015020721",2015,0.00%,
45,South Carolina,45015020722,"Berkeley County, SC - 45015020722",2015,1.50%,
45,South Carolina,45015020723,"Berkeley County, SC - 45015020723",2015,3.10%,
45,South Carolina,45015020724,"Berkeley County, SC - 45015020724",2015,4.10%,
45,South Carolina,45015020725,"Berkeley County, SC - 45015020725",2015,0.00%,
45,South Carolina,45015020804,"Berkeley County, SC - 45015020804",2015,5.60%,
45,South Carolina,45015020806,"Berkeley County, SC - 45015020806",2015,1.70%,
45,South Carolina,45015020807,"Berkeley County, SC - 45015020807",2015,3.70%,
45,South Carolina,45015020808,"Berkeley County, SC - 45015020808",2015,2.90%,
45,South Carolina,45015020809,"Berkeley County, SC - 45015020809",2015,2.20%,
45,South Carolina,45015020810,"Berkeley County, SC - 45015020810",2015,2.60%,
45,South Carolina,45015020811,"Berkeley County, SC - 45015020811",2015,3.40%,
45,South Carolina,45015020812,"Berkeley County, SC - 45015020812",2015,0.30%,
45,South Carolina,45015020901,"Berkeley County, SC - 45015020901",2015,8.60%,
45,South Carolina,45015020903,"Berkeley County, SC - 45015020903",2015,3.80%,
45,South Carolina,45015020904,"Berkeley County, SC - 45015020904",2015,1.10%,
45,South Carolina,45015021000,"Berkeley County, SC - 45015021000",2015,8.00%,
45,South Carolina,45015980100,"Berkeley County, SC - 45015980100",2015,0.00%,
45,South Carolina,45017950100,"Calhoun County, SC - 45017950100",2015,4.70%,
45,South Carolina,45017950200,"Calhoun County, SC - 45017950200",2015,9.80%,
45,South Carolina,45017950400,"Calhoun County, SC - 45017950400",2015,8.60%,
45,South Carolina,45019000100,"Charleston County, SC - 45019000100",2015,8.80%,
45,South Carolina,45019000200,"Charleston County, SC - 45019000200",2015,2.00%,
45,South Carolina,45019000400,"Charleston County, SC - 45019000400",2015,30.50%,
45,South Carolina,45019000500,"Charleston County, SC - 45019000500",2015,2.90%,
45,South Carolina,45019000600,"Charleston County, SC - 45019000600",2015,3.40%,
45,South Carolina,45019000700,"Charleston County, SC - 45019000700",2015,14.50%,
45,South Carolina,45019000900,"Charleston County, SC - 45019000900",2015,29.50%,
45,South Carolina,45019001000,"Charleston County, SC - 45019001000",2015,18.00%,
45,South Carolina,45019001100,"Charleston County, SC - 45019001100",2015,32.70%,
45,South Carolina,45019001500,"Charleston County, SC - 45019001500",2015,22.60%,
45,South Carolina,45019001600,"Charleston County, SC - 45019001600",2015,6.90%,
45,South Carolina,45019001901,"Charleston County, SC - 45019001901",2015,2.30%,
45,South Carolina,45019001902,"Charleston County, SC - 45019001902",2015,8.10%,
45,South Carolina,45019002002,"Charleston County, SC - 45019002002",2015,2.40%,
45,South Carolina,45019002003,"Charleston County, SC - 45019002003",2015,9.10%,
45,South Carolina,45019002004,"Charleston County, SC - 45019002004",2015,0.80%,
45,South Carolina,45019002005,"Charleston County, SC - 45019002005",2015,2.50%,
45,South Carolina,45019002006,"Charleston County, SC - 45019002006",2015,8.40%,
45,South Carolina,45019002007,"Charleston County, SC - 45019002007",2015,0.50%,
45,South Carolina,45019002101,"Charleston County, SC - 45019002101",2015,5.30%,
45,South Carolina,45019002103,"Charleston County, SC - 45019002103",2015,4.70%,
45,South Carolina,45019002104,"Charleston County, SC - 45019002104",2015,1.20%,
45,South Carolina,45019002105,"Charleston County, SC - 45019002105",2015,0.50%,
45,South Carolina,45019002200,"Charleston County, SC - 45019002200",2015,7.50%,
45,South Carolina,45019002300,"Charleston County, SC - 45019002300",2015,7.90%,
45,South Carolina,45019002400,"Charleston County, SC - 45019002400",2015,6.00%,
45,South Carolina,45019002502,"Charleston County, SC - 45019002502",2015,8.60%,
45,South Carolina,45019002604,"Charleston County, SC - 45019002604",2015,5.50%,
45,South Carolina,45019002605,"Charleston County, SC - 45019002605",2015,11.00%,
45,South Carolina,45019002606,"Charleston County, SC - 45019002606",2015,2.50%,
45,South Carolina,45019002611,"Charleston County, SC - 45019002611",2015,2.90%,
45,South Carolina,45019002612,"Charleston County, SC - 45019002612",2015,11.00%,
45,South Carolina,45019002613,"Charleston County, SC - 45019002613",2015,13.90%,
45,South Carolina,45019002614,"Charleston County, SC - 45019002614",2015,3.40%,
45,South Carolina,45019002701,"Charleston County, SC - 45019002701",2015,21.00%,
45,South Carolina,45019002702,"Charleston County, SC - 45019002702",2015,22.50%,
45,South Carolina,45019002801,"Charleston County, SC - 45019002801",2015,3.50%,
45,South Carolina,45019002802,"Charleston County, SC - 45019002802",2015,1.60%,
45,South Carolina,45019002900,"Charleston County, SC - 45019002900",2015,4.50%,
45,South Carolina,45019003000,"Charleston County, SC - 45019003000",2015,2.40%,
45,South Carolina,45019003104,"Charleston County, SC - 45019003104",2015,11.20%,
45,South Carolina,45019003105,"Charleston County, SC - 45019003105",2015,10.70%,
45,South Carolina,45019003106,"Charleston County, SC - 45019003106",2015,5.10%,
45,South Carolina,45019003107,"Charleston County, SC - 45019003107",2015,3.00%,
45,South Carolina,45019003108,"Charleston County, SC - 45019003108",2015,9.70%,
45,South Carolina,45019003109,"Charleston County, SC - 45019003109",2015,2.10%,
45,South Carolina,45019003110,"Charleston County, SC - 45019003110",2015,17.00%,
45,South Carolina,45019003111,"Charleston County, SC - 45019003111",2015,6.00%,
45,South Carolina,45019003113,"Charleston County, SC - 45019003113",2015,9.00%,
45,South Carolina,45019003114,"Charleston County, SC - 45019003114",2015,3.80%,
45,South Carolina,45019003115,"Charleston County, SC - 45019003115",2015,6.60%,
45,South Carolina,45019003200,"Charleston County, SC - 45019003200",2015,3.40%,
45,South Carolina,45019003300,"Charleston County, SC - 45019003300",2015,24.30%,
45,South Carolina,45019003400,"Charleston County, SC - 45019003400",2015,26.20%,
45,South Carolina,45019003500,"Charleston County, SC - 45019003500",2015,2.70%,
45,South Carolina,45019003600,"Charleston County, SC - 45019003600",2015,11.10%,
45,South Carolina,45019003700,"Charleston County, SC - 45019003700",2015,32.70%,
45,South Carolina,45019003800,"Charleston County, SC - 45019003800",2015,28.30%,
45,South Carolina,45019003900,"Charleston County, SC - 45019003900",2015,5.20%,
45,South Carolina,45019004000,"Charleston County, SC - 45019004000",2015,17.30%,
45,South Carolina,45019004300,"Charleston County, SC - 45019004300",2015,37.00%,
45,South Carolina,45019004400,"Charleston County, SC - 45019004400",2015,32.60%,
45,South Carolina,45019004606,"Charleston County, SC - 45019004606",2015,6.30%,
45,South Carolina,45019004607,"Charleston County, SC - 45019004607",2015,6.80%,
45,South Carolina,45019004608,"Charleston County, SC - 45019004608",2015,1.70%,
45,South Carolina,45019004609,"Charleston County, SC - 45019004609",2015,4.20%,
45,South Carolina,45019004610,"Charleston County, SC - 45019004610",2015,5.60%,
45,South Carolina,45019004611,"Charleston County, SC - 45019004611",2015,1.70%,
45,South Carolina,45019004612,"Charleston County, SC - 45019004612",2015,3.30%,
45,South Carolina,45019004613,"Charleston County, SC - 45019004613",2015,0.00%,
45,South Carolina,45019004614,"Charleston County, SC - 45019004614",2015,0.80%,
45,South Carolina,45019004701,"Charleston County, SC - 45019004701",2015,4.80%,
45,South Carolina,45019004702,"Charleston County, SC - 45019004702",2015,4.30%,
45,South Carolina,45019004800,"Charleston County, SC - 45019004800",2015,1.40%,
45,South Carolina,45019004901,"Charleston County, SC - 45019004901",2015,0.00%,
45,South Carolina,45019004902,"Charleston County, SC - 45019004902",2015,4.20%,
45,South Carolina,45019005000,"Charleston County, SC - 45019005000",2015,13.00%,
45,South Carolina,45019005100,"Charleston County, SC - 45019005100",2015,15.50%,
45,South Carolina,45019005200,"Charleston County, SC - 45019005200",2015,9.30%,
45,South Carolina,45019005300,"Charleston County, SC - 45019005300",2015,43.10%,
45,South Carolina,45019005400,"Charleston County, SC - 45019005400",2015,35.30%,
45,South Carolina,45019005500,"Charleston County, SC - 45019005500",2015,41.00%,
45,South Carolina,45019005600,"Charleston County, SC - 45019005600",2015,0.60%,
45,South Carolina,45019005700,"Charleston County, SC - 45019005700",2015,0.40%,
45,South Carolina,45019005800,"Charleston County, SC - 45019005800",2015,0.90%,
45,South Carolina,45019990100,"Charleston County, SC - 45019990100",2015,0.00%,
45,South Carolina,45021970100,"Cherokee County, SC - 45021970100",2015,5.20%,
45,South Carolina,45021970201,"Cherokee County, SC - 45021970201",2015,17.30%,
45,South Carolina,45021970202,"Cherokee County, SC - 45021970202",2015,2.20%,
45,South Carolina,45021970301,"Cherokee County, SC - 45021970301",2015,11.50%,
45,South Carolina,45021970302,"Cherokee County, SC - 45021970302",2015,18.90%,
45,South Carolina,45021970401,"Cherokee County, SC - 45021970401",2015,12.10%,
45,South Carolina,45021970402,"Cherokee County, SC - 45021970402",2015,6.90%,
45,South Carolina,45021970501,"Cherokee County, SC - 45021970501",2015,3.50%,
