Name,address,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,tele,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,ulc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Cornerstone Edgefield,603 Augusta Road ,Edgefield,SC,29824,,Edgefield,803-637-9336,,,,http://www.cornerstonecares.org,33.7743,-81.917054,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,1,1,,1,1,1,,,,1,,,,,1,1,,,1,,1,,,,,,,1,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,,,,,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Treatment Specialists ,1031 Broad Street ,Sumter,SC,29150,,Sumter,803-848-0035,,,,http://sumtertreatmentspecialists.com,33.9477213,-80.3738248,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,1,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Behavioral Health Services ,441 North Main Street ,Sumter,SC,29150,,Sumter,803-775-5080,,,,http://www.sumterbhs.org,33.92819631,-80.34148664,SA,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,1,,1,1,1,1,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,,,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,,,,1,1,1,,1,,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,1,,,,1,1,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Behavioral Health Services ,115 North Harvin Street ,Sumter,SC,29150,,Sumter,803-775-6815,,,803-775-5080,http://www.sumterbhs.com,33.9223873,-80.3382067,SA,1,,,,,,,,,,1,1,,,,,,1,,,,1,,1,1,1,,,1,,,1,1,1,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,,,,1,1,1,,1,1,,1,,,1,,1,,1,1,,1,,,1,1,,1,1,1,1,,,,1,1,,,1,,,,,1,,,1,,,1,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarendon Cty Commission on Alc Trt DBA Clarendon Behavioral Health Servs,14 North Church Street ,Manning,SC,29102,,Clarendon,803-435-2121,,,,http://www.clarendonbhs.com,33.6959659,-80.2084491,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,1,1,,1,,,,,1,1,1,1,1,1,,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,1,,,1,1,1,,,1,,1,1,,1,1,,,1,1,,,,,1,1,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Center Commission on Alc and Other Drug Abuse Services,570 Memorial Avenue P.O. Box 806,Allendale,SC,29810,,Allendale,803-584-4238,,,803-943-2800,http://www.newlifecenteradc.org,33.0115594,-81.3074161,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,,,,1,1,1,,,1,1,1,,,1,1,1,1,1,1,1,,,,1,,,,,,,1,,1,1,1,,1,1,,1,,,,1,,1,,,1,1,,,1,,1,,,,,,,1,1,1,,,1,,1,,,1,,,,1,1,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Center ,108 East Church Street ,Bishopville,SC,29010,,Lee,803-484-6025,,,,http://www.alphabehavioralhealthcenter.org,34.2173861,-80.2481409,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,,,1,,,,,1,,1,,,,,1,1,1,,,,,,,,1,,1,1,1,1,,1,,1,1,,,1,,1,,,1,1,,,1,,1,,,1,1,,1,1,1,1,,1,1,,1,,,1,,1,,1,1,,,,1,1,1,,1,,,1,,1,,1,1,1,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester County Alcohol and Drug Abuse DBA Hazel Pittman Center,130 Hudson Street ,Chester,SC,29706,1524,Chester,803-377-8111,,,,http://www.hazelpittman.org,34.705853,-81.2108727,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,,1,1,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,,1,1,1,,1,,1,,,1,1,,,1,,1,,,,,,,1,1,1,,,,,,1,,,,,,1,1,,,1,1,1,,,,,1,1,,,,1,1,1,,,,,,,,,,1,,,,1,1,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Treatment Specialists ,110 Court Avenue West ,Greenwood,SC,29646,2749,Greenwood,864-407-4160 x201,,,,http://www.greenwoodtreatment.com,34.1884936,-82.1611436,SA,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,1,1,,,,1,1,,,1,,,,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,1,,,1,1,1,,,,,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,1,,,1,,1,,,1,,1,1,,,1,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Home Inc Christian Alcohol/Drug Rehabilitation,144 Faith Home Road ,Greenwood,SC,29649,,Greenwood,864-223-0694,,,,http://www.faithhomegwd.net,34.2521468,-82.1327043,SA,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,,1,,1,,,,1,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Skye Treatment Center ,1035 Medical Ridge Road ,Clinton,SC,29325,,Laurens,864-547-2089,,,,http://www.clearskyetreatmentcenters.com,34.4829412,-81.9387976,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,,1,,1,,,,,1,1,,1,,,1,,1,,1,1,1,,1,,1,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate Way Counseling Center ,219 Human Services Road ,Clinton,SC,29325,,Laurens,864-833-6500,,,,http://www.gatewaycounseling.org,34.4855304,-81.9366449,SA,1,,,,,,,,,,,,,,,,,1,,1,,1,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,,1,,,1,,1,1,,,,,,,,,1,,1,,,1,,,,,,,,,,1,,1,1,1,1,1,1,,1,1,,,1,,1,,,1,1,,,1,,1,,,1,,,,1,1,1,,,,,,,1,1,,1,,1,1,,,,1,1,1,,1,,,1,,1,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone Greenwood,1612 Rivers Street ,Greenwood,SC,29649,,Greenwood,864-227-1001,,,864-227-1010,http://www.cornerstonecares.org,34.2055684,-82.199019,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,1,,,,,,1,,1,,,,,1,,,,,,,,,,1,,1,1,1,1,,1,1,1,1,1,,1,,,,,1,1,,,1,,1,,,,,,,1,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,,1,,,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Counseling Services of Lancaster ,114 South Main Street ,Lancaster,SC,29720,,Lancaster,803-285-6911,,,,http://www.counselingserviceslancaster.org,34.71986304,-80.77053863,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,1,,1,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,,,,1,,,1,,,,1,1,,,,,1,1,,1,,,1,,1,,1,1,1,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone McCormick,504 North Mine Street ,Mc Cormick,SC,29835,,McCormick,864-852-3306,,,,http://www.cornerstonecares.org,33.9146799,-82.300683,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,1,1,1,,1,1,1,,,,1,,,,,1,1,,,1,,1,,,,,,,1,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,,,,,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Center Commission on Alc and Other Drug Abuse Services,102 Ginn Altman Avenue Suite C,Hampton,SC,29924,,Hampton,803-943-2800,,,,http://newlifecenteradc.org,32.8576079,-81.1160145,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,,,,1,1,1,,,1,1,1,,,1,1,1,1,1,1,1,,,,1,,,,,,,1,,1,1,1,,1,1,,1,,,,1,,1,,,1,1,,,1,,1,,,,,,,1,1,1,,,1,,1,,,1,,,,1,1,,,,,1,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colleton County Commission on Alcohol and Drug Abuse,1439 Thunderbolt Drive ,Walterboro,SC,29488,,Colleton,843-538-4343,,,,http://www.pillars4hope.org/,32.947748,-80.626861,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,,1,,1,,1,,,1,1,,,1,,1,,,,1,1,,1,1,1,,1,,1,1,1,,1,,1,,1,1,1,,,1,1,1,,1,1,,1,,1,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Point of Darlington ,1451 Retail Row ,Hartsville,SC,29550,,Darlington,843-383-4848 x13,Intakes,843-383-4848 x10,843-917-8548,http://www.crossroadstreatmentcenters.com,34.3578492,-80.0619996,SA,1,1,1,,1,,,,,,,,1,,,,,,,1,1,1,,,1,,,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,,1,,1,1,1,,,,1,1,,,1,,,1,,,1,,,,,,,,1,,1,1,1,,,,,1,,,,,,1,,,1,,1,,,1,,1,,1,,1,,,1,1,1,1,,1,,,1,,,,1,,,1,1,1,,,,,,,,,,,,1,1,,,,,1,,,,1,1,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee Mental Health Darlington County,900 South Fourth Street ,Hartsville,SC,29550,,Darlington,843-332-4141,,,,http://www.peedeementalhealth.org/,34.3635086,-80.0646245,SA,1,,,,,,,,,,,,,,1,,,,,,,1,1,,1,1,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,1,,,,,,,,1,1,,,,,1,,,,,,,,1,1,,1,,1,,,,,,1,1,,1,,,,1,,1,,,,,1,,1,,1,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone Abbeville,103 Whitehall Street ,Abbeville,SC,29620,,Abbeville,864-366-9661,,,,http://www.cornerstonecares.org,34.1750456,-82.3803321,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,,,,1,,,,,1,1,,,1,,1,,,,,,,1,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,,,,,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Hill Treatment Specialists ,1274 East Main Street ,Rock Hill,SC,29730,,York,803-526-7666,,,,http://rockhilltreatment.com,34.9155408,-81.0022794,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,1,,1,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,1,,1,1,1,1,,,,,1,1,,1,,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Keystone Substance Abuse Services ,199 South Herlong Avenue ,Rock Hill,SC,29732,,York,803-324-1800,,,803-324-0404,http://www.keystoneyork.org,34.9553788,-81.0483388,SA,1,1,,,,,,,,1,1,1,,,,,,,,,,1,,,1,1,,,1,,1,1,1,1,,,,1,1,1,1,1,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,1,,1,,,1,,1,,,,,,,1,1,1,1,,,,,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,1,,1,,,1,1,1,,,,1,1,,1,1,,1,1,1,1,,,1,1,1,,,1,,1,1,,1,1,1,1,,,1,,1,1,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg County Department on Alc Williamsburg County Behavioral Health,115 Short Street ,Kingstree,SC,29556,,Williamsburg,843-355-9113 x102,Intakes,843-355-9113,843-372-0299,http://www.williamsburgcounty.sc.gov/,33.6624917,-79.82996694,SA,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,,1,1,,1,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,,1,,,,,,,1,1,1,,,,,1,1,,1,,,,1,1,,,1,,1,1,,1,1,,1,,1,,1,1,1,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest E Kennedy Center ,306 Airport Drive ,Moncks Corner,SC,29461,,Berkeley,843-761-8272,,,,http://www.ekcenter.org,33.184212,-80.030682,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,,1,,1,,,,,1,1,,1,1,1,1,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,1,,,,1,,,1,1,1,,,1,,1,1,1,1,,,,1,1,,1,1,1,1,1,,1,1,,1,,,,1,1,,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester County Commission on Alcohol and Drug Abuse,320 Midland Parkway Suite C,Summerville,SC,29485,,Dorchester,843-871-4790,,,843-871-4793,http://www.dadc.org,33.0261337,-80.1715946,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,,1,1,,1,1,1,1,1,,,,,,1,,1,,1,1,,,,1,,,,,,,,1,,1,1,1,1,,1,,1,1,1,,1,,1,,1,1,1,,,1,,1,,,,1,,,1,1,1,,1,,,1,,,1,,1,,1,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysalis Center ,1430 South Cashua Drive ,Florence,SC,29501,,Florence,843-673-0660 x223,Intakes,843-673-0660 x213,843-673-0660 x210,http://www.circlepark.com,34.16683629,-79.82526777,SA,1,,,,,1,,,1,1,1,1,,,,1,,1,,,,1,1,1,1,1,1,,1,,1,1,,,1,,,,,,,,1,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,,,1,1,,,,,,,1,1,,1,1,1,,,1,,,,,,,,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,1,,,,,,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,,,1,1,1,1,,,1,1,,1,,,1,1,,1,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sober Living Solutions LLC DBA The Owls Nest Recovery Center,2528 West Palmetto Street ,Florence,SC,29501,,Florence,843-669-6088,,,,http://www.owlsnestrecovery.com/,34.1799602,-79.821275,SA,1,,,,,,,,1,,1,1,,1,,,,,,,,,,1,1,1,,,1,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,1,1,1,,,1,,1,,,1,1,,,,,1,,,,1,,1,1,1,1,1,,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,,,1,,,,,1,,1,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Center ,1709 Stokes Road ,Florence,SC,29501,,Florence,843-662-9378,,,,http://www.scvrd.net,34.2133,-79.8206,SA,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,1,,1,1,,1,,1,,,,,,,1,1,,1,1,1,,,,,,,,,,1,1,1,,1,1,,1,1,,,1,,,1,1,1,1,,,,,,,,1,,,,,1,1,,1,,1,,,1,,,,,,1,,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Point of Florence PC ,1341 North Cashua Drive ,Florence,SC,29501,6939,Florence,843-673-9320,,,,http://www.crossroadstreatmentcenters.com,34.2194944,-79.7971621,SA,1,,1,,,,,,,,,,1,,,,,,,1,1,1,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,1,1,1,,,,1,1,1,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,1,,,1,1,1,1,,1,,,1,,,,1,,,1,1,1,,,,,1,,,,,,,1,1,1,1,,,1,,,1,1,1,1,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
